modele,date_loc,info
"['SkodaKamiq1.0MONTE CARLOprix initial : 27 990', '', '                              25 990 €  ']",,
"['OpelAstra1.2ELEGANCEprix initial : 31 060', '', '                              25 950 €  ']",,
"['MiniCabrioCooper1.5prix initial : 28 900', '', '                              24 500 €  ']",,
"['AudiA4 avant40 tfsi2.0prix initial : 43 490', '', '                              39 450 €  ']",,
"['MercedesCla shooting brakeCla 200', '', '                              21 890 €  ']",,
"['MercedesCla shooting brakeCla 200prix initial : 21 890', '', '                              20 490 €  ']",,
"['OpelAstra1.6GS LINEprix initial : 38 900', '', '                              32 900 €  ']",,
"['MercedesClasse bB 200prix initial : 29 800', '', '                              25 900 €  ']",,
"['SkodaFabia1.0AMBITION', '', '                              17 490 €  ']",,
"['HyundaiKonaTREND', '', '                              29 900 €  ']",,
"['SkodaKamiq1.0AMBITIONprix initial : 25 490', '', '                              22 490 €  ']",,
"['NissanQashqai1.3prix initial : 24 590', '', '                              23 650 €  ']",,
"['NissanX-trail1.6VISIAprix initial : 18 450', '', '                              15 490 €  ']",,
"['NissanX-trail2.0N CONNECTA4X4prix initial : 21 490', '', '                              18 490 €  ']",,
"['VolkswagenTransporterT52.5prix initial : 7 699', '', '                              6 999 €  ']",,
"['HyundaiTucson1.6PREMIUM', '', '                              23 990 €  ']", 30.07.2022 ALLEMAGNEDétail,ESSENCE24 900 Km2017MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['OpelAstraPhev1.6GS LINEprix initial : 38 900', '', '                              32 900 €  ']",,
"['NissanQashqai1.3TEKNA', '', '                              39 850 €  ']",,
"['MiniCountrymanCooper se1.5ALL4prix initial : 27 900', '', '                              24 000 €  ']",,
"['BmwSerie 4 gran coupe4202.0', '', '                              20 990 €  ']",,
"['BmwSerie 4 gran coupe4202.0prix initial : 20 990', '', '                              19 990 €  ']",,
"['BmwX1Sdrive 20i2.0EDITION AVANTAGEprix initial : 32 490', '', '                              26 500 €  ']",,
"['OpelInsignia sports tourer1.5SPORTprix initial : 35 500', '', '                              32 490 €  ']",,
"['MercedesGle coupe 43 amgV6 3.04MATICprix initial : 65 900', '', '                              57 900 €  ']",,
"['HyundaiI301.0TRENDprix initial : 22 950', '', '                              19 900 €  ']",,
"['HyundaiI30N performance2.0prix initial : 41 450', '', '                              36 550 €  ']",,
"['SkodaScala1.5AMBITION', '', '                              25 950 €  ']",,
"['SkodaOctavia combiRs2.0', '', '                              52 490 €  ']",,
"['SkodaKaroq1.5CLEVER', '', '                              31 890 €  ']",,
"['SkodaSuperb combi2.0STYLEprix initial : 28 990', '', '                              25 900 €  ']",,
"['AudiA4 avant2.0S LINEprix initial : 44 700', '', '                              41 900 €  ']",,
"['HyundaiI301.0TRENDprix initial : 23 850', '', '                              18 950 €  ']",,
"['ToyotaYaris1.5prix initial : 24 990', '', '                              23 890 €  ']",,
"['OpelMokka-eprix initial : 32 900', '', '                              31 250 €  ']",,
"['HyundaiI101.0prix initial : 15 990', '', '                              12 850 €  ']",,
"['NissanMicra1.0N DESIGN', '', '                              18 490 €  ']",,
"['VolkswagenTransporterT62.0HIGHLINE4MOTION', '', '                              46 000 €  ']",,
"['HyundaiI101.0prix initial : 15 990', '', '                              14 280 €  ']",,
"['AudiA1 sportback30 tfsi1.0prix initial : 25 900', '', '                              23 899 €  ']",,
"['NissanQashqai1.6VISIAprix initial : 8 490', '', '                              7 990 €  ']",,
"['BmwSerie 3 gt3202.0SPORTprix initial : 20 500', '', '                              18 900 €  ']", 07.10.2022 ALLEMAGNEDétail,DIESEL114 585 Km2014MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['FordTransit1.5prix initial : 14 989', '', '                              13 699 €  ']",,
"['AudiA640 tdi2.0', '', '                              37 250 €  ']",,
"['OpelCombo lifeULTIMATEprix initial : 41 990', '', '                              39 490 €  ']",,
"['BmwX540e2.0prix initial : 39 450', '', '                              32 750 €  ']",,
"['BmwSerie 2 active tourer218', '', '                              23 500 €  ']",,
"['HyundaiI301.5prix initial : 25 940', '', '                              25 490 €  ']",,
"['BmwSerie 3 touring320M SPORT', '', '                              26 990 €  ']",,
"['BmwSerie 2 active tourer218EDITION AVANTAGEprix initial : 16 890', '', '                              11 900 €  ']",,
"['BmwSerie 3 touring320SPORT', '', '                              26 990 €  ']",,
"['FordPuma1.0TITANIUM', '', '                              21 490 €  ']",,
"['SkodaKaroq1.5AMBITIONprix initial : 31 990', '', '                              29 990 €  ']",,
"['NissanAriya', '', '                              45 900 €  ']",,
"['HyundaiKona1.6TREND', '', '                              25 980 €  ']",,
"['MiniMiniCooper s2.0', '', '                              21 500 €  ']",,
"['VolkswagenGolf1.9', '', '                              3 990 €  ']",,
"['OpelZafira2.0EDITIONprix initial : 43 900', '', '                              41 590 €  ']",,
"['MazdaCx-32.0SPORT4X4', '', '                              17 490 €  ']",,
"['HyundaiTucson1.6prix initial : 47 290', '', '                              39 950 €  ']",,
"['Fiat5001.2LOUNGE', '', '                              8 500 €  ']",,
"['AudiA5 sportback3.0QUATTROprix initial : 28 490', '', '                              24 490 €  ']",,
"['AudiQ235 tfsi1.5prix initial : 34 950', '', '                              32 900 €  ']",,
"['HyundaiI301.0prix initial : 22 950', '', '                              21 950 €  ']",,
"['SkodaSuperb combi2.0SPORTLINE', '', '                              56 990 €  ']",,
"['MercedesClasse c breakC 250AVANTGARDEprix initial : 23 900', '', '                              22 900 €  ']",,
"['NissanMicra1.0TEKNA', '', '                              22 950 €  ']", 01.12.2022 ALLEMAGNEDétail,ESSENCE7 000 Km2022AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['OpelGrandland x1.5prix initial : 29 890', '', '                              27 900 €  ']",,
"['MercedesClasse gleGle 300AMG LINE4MATIC', '', '                              68 900 €  ']",,
"['BmwX3Xdrive 20d2.0XLINE', '', '                              26 500 €  ']",,
"['VolkswagenTiguan1.4SOUND', '', '                              22 990 €  ']",,
"['FordKuga2.0COOL & CONNECT', '', '                              18 750 €  ']",,
"['BmwSerie 5 touring520SPORTprix initial : 22 500', '', '                              19 890 €  ']",,
