marque,modele,version,prix_initial,prix,date_loc,info
PEUGEOT,,,22 500,29 000 €,31.10.2023 FRANCEDétail,HYBRIDE37 065 Km2020AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
LANCIA,,,42 990,37 990 €,01.11.2023 FRANCEDétail,ESSENCE10 300 Km2016AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
CITROEN,,,43 990,39 990 €,01.11.2023 FRANCEDétail,DIESEL101 000 Km2013AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BMW,,,5 900,6 600 €,01.11.2023 FRANCEDétail,DIESEL58 000 Km2012AUTOMATIQUE67160DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
SEAT,,,22 900,22 500 €,02.11.2023 FRANCEDétail,DIESEL201 000 Km2011MANUELLE67160DEVIS ASSURANCEVENDEZ
CITROEN,,,23 990,22 990 €,,
LAND,ROVER,,67 990,54 990 €,,
BMW,,,159 990,149 990 €,,
VOLKSWAGEN,,,18 400,17 000 €,,
CITROEN,,,,32 990 €,,
CITROEN,,,26 390,25 590 €,,
CITROEN,,,25 990,24 990 €,,
AUDI,,,,26 499 €,,
FIAT,,,7 000,5 500 €,,
MINI,,,,16 900 €,,
MERCEDES,,,,7 500 €,,
MERCEDES,,,38 990,37 990 €,,
AUDI,,,,23 990 €,,
CITROEN,,,,20 490 €,,
BMW,,,167 990,149 990 €,,
BMW,,,,28 000 €,,
PEUGEOT,,,13 990,12 990 €,,
CITROEN,,,5 300,4 900 €,,
FORD,,,9 990,8 990 €,,
MERCEDES,,,,43 800 €,,
LAND,ROVER,,35 990,33 490 €,,
CITROEN,,,,8 990 €,,
LAND,ROVER,,54 990,53 990 €,,
PEUGEOT,,,,4 500 €,,
MERCEDES,,,3 990,3 490 €,,
BMW,,,23 200,22 900 €,,
PEUGEOT,,,6 300,6 500 €,,
BMW,,,,22 900 €,,
MERCEDES,,,19 900,18 900 €,,
AUDI,,,17 900,16 900 €,,
VOLKSWAGEN,,,,29 900 €,,
RENAULT,,,,6 999 €,,
AUDI,,,,17 000 €,,
